,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
0,"""XY""",0.0,1,1.0,9.0,,415159148.0,745345.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,$OHO BANI,54065563.0,1,7779.0,9672092.0,73.0,6744201.0,72802.0,0.0,0.0,0.0,89825480.0,18.0,7736.0,0.0,16.0,9108102.0,16.0,0.0,0.0,0.0,198646.0
2,$uicideboy$,188605270.0,9,46010.555555555555,6602650.222222222,70.875,76773968.66666667,822896.0,57353.11111111111,9693052.0,63030159.222222224,9583575.444444444,3.4444444444444446,176.33333333333334,20.0,2.0,18684.88888888889,1.2222222222222223,6035940.0,6360.666666666667,9866708.0,552413.0
3,&ME,34601626.0,1,34272.0,14914861.0,65.0,0.0,0.0,623.0,60724.0,869444.0,0.0,20.0,158.0,0.0,9.0,38641.0,21.0,0.0,0.0,0.0,989728.0
4,(G)I-DLE,219234613.0,4,20092.0,9513364.75,68.33333333333333,301309699.75,3264112.75,112459.25,72188496.75,563545058.5,584401880.25,16.5,2855.25,0.0,4.0,64574.75,21.75,524940.75,1366.0,287858.75,446183.75
5,*NSYNC,69041864.0,1,10118.0,7035846.0,,27951941.0,273780.0,13519.0,6248728.0,57013361.0,65010.0,31.0,44.0,19.0,19.0,77583.0,36.0,7400345.0,18047.0,0.0,877878.0
6,.diedlonely,44235866.0,1,6022.0,1268699.0,66.0,5698615.0,142632.0,919217.0,181638749.0,1776006642.0,0.0,4.0,6.0,0.0,1.0,43207.0,0.0,0.0,0.0,0.0,363177.0
7,10CM,18800716.0,1,1180.0,12952009.0,73.0,7398997.0,168846.0,0.0,0.0,0.0,0.0,12.0,52.0,0.0,0.0,0.0,0.0,4319.0,12.0,0.0,193276.0
8,13 Organisï¿,267241905.0,1,62950.0,4938947.0,63.0,515808378.0,2686256.0,5066.0,641873.0,12209681.0,11896873.0,51.0,17239.0,0.0,42.0,6246257.0,10.0,0.0,0.0,0.0,2065953.0
9,1da Banton,154010050.0,1,66808.0,4409868.0,63.0,234249323.0,1315242.0,417782.0,60004357.0,729439284.0,35766547.0,38.0,8575.0,129.0,13.0,538366.0,0.0,8880471.0,1657.0,0.0,2109482.0
10,1nonly,282689665.0,2,74094.5,14000631.0,68.0,140720391.0,1953845.5,429056.5,68284573.0,637235356.0,299561.0,6.0,4.0,0.0,1.5,45640.0,0.0,3487500.5,2419.5,3760510.0,976162.0
11,21 Savage,382108149.5294118,17,81562.35294117648,27328691.94117647,73.28571428571429,162667659.6470588,1438361.2352941176,67544.11764705883,9436243.705882354,78188426.88235295,86405399.88235295,36.1764705882353,13386.058823529413,17.764705882352942,15.823529411764707,327885.35294117645,15.411764705882353,45416441.76470588,23642.235294117647,14057234.470588235,1009233.0
12,24kGoldn,1867736006.0,1,302486.0,82611625.0,76.0,747126783.0,10795292.0,2467227.0,160756733.0,1768836179.0,2069527154.0,329.0,931316.0,1897.0,273.0,3821598.0,85.0,240562062.0,131540.0,40756476.0,10228436.0
13,2Rare,299871.0,1,71.0,576253.0,,0.0,0.0,387200.0,5817255.0,40815691.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,82867.0,56.0,0.0,20511.0
14,3 Palavrinhas,0.0,1,0.0,0.0,,39323383.0,44223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,310babii,128855739.0,1,26723.0,26216067.0,65.0,17779741.0,246939.0,599910.0,159054107.0,1598512701.0,283635839.0,14.0,1318.0,1893.0,3.0,909981.0,14.0,12625658.0,6542.0,6657861.0,2066168.0
16,347aidan,280575279.0,2,81536.0,9427815.0,61.5,74253384.5,1497904.5,733780.0,226141154.0,1927599763.5,5114737.5,32.0,2851.5,59.5,6.5,11368.0,0.0,5109364.5,11864.0,0.0,1668415.0
17,4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turnin,148262734.0,1,25061.0,12962477.0,61.0,84276192.0,1121581.0,751200.0,215442044.0,1877005845.0,25955797.0,45.0,2670.0,0.0,12.0,139673.0,19.0,10335798.0,16315.0,1228455.0,768965.0
18,41,104897425.0,1,27545.0,20350869.0,64.0,13379053.0,149424.0,0.0,0.0,0.0,0.0,14.0,11802.0,246.0,1.0,223.0,0.0,1100545.0,1464.0,0.0,616738.0
19,42 Dugg,75717094.0,1,34136.0,5124318.0,55.0,216661579.0,1234087.0,24023.0,4773399.0,50774936.0,61994241.0,42.0,9269.0,0.0,1.0,145.0,0.0,82146544.0,17117.0,15809987.0,1103585.0
20,4batz,88739287.0,3,17109.666666666668,25224472.0,,13936120.0,267811.3333333333,178000.0,29443697.0,249671723.33333334,11711456.333333334,32.0,28543.666666666668,346.0,13.666666666666666,803778.3333333334,17.333333333333332,2480215.0,1169.6666666666667,602449.0,728200.3333333334
21,5 Seconds of Summer,1236913514.0,2,141811.5,47092742.5,73.5,557667911.5,6424360.5,239303.0,37994959.0,321107075.0,123625704.0,105.0,163169.5,119.0,21.5,497706.5,41.5,225598409.5,110014.5,3279391.5,7245866.0
22,50 Cent,482485374.0,2,109551.0,34629530.5,75.0,1739491191.0,10969658.0,156729.0,28309646.0,475469307.0,584405533.5,38.0,22269.5,61.0,24.5,331113.0,12.5,168189164.0,193909.0,9400437.0,3150203.5
23,5ive,111894875.0,1,36302.0,1840798.0,59.0,113044166.0,1165613.0,1110500.0,57069383.0,505795992.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,42037834.0,0.0
24,5ï¿½ï¿½ï¿,7375613.0,1,3903.0,471206.0,54.0,136297891.0,653910.0,107200.0,8177945.0,130470945.0,409137727.0,4.0,1586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6YNTHMANE,185914923.0,1,28387.0,19122650.0,72.0,114153936.0,1500822.0,0.0,0.0,0.0,86472968.0,1.0,2.0,0.0,2.0,491228.0,5.0,313124.0,1606.0,0.0,1114212.0
26,6arelyhuman,94953204.5,2,18275.0,6201532.0,36.5,27543285.5,568867.5,91180.5,34106248.0,217794954.0,0.0,0.5,0.0,0.0,0.5,21173.5,4.0,447498.0,1674.0,4138242.0,494061.5
27,6ix9ine,219086670.33333334,3,46581.0,4971693.0,2.0,530798384.6666667,7776482.666666667,1121869.3333333333,192950448.0,2135000234.0,154818248.33333334,11.333333333333334,2003.6666666666667,19.0,5.333333333333333,21819.333333333332,1.0,5678337.333333333,28535.0,0.0,1280354.0
