,Artist,0
0,$OHO BANI,E
1,$uicideboy$,D
2,&ME,E
3,(G)I-DLE,E
4,.diedlonely,D
5,10CM,E
6,13 Organisï¿,D
7,1da Banton,C
8,1nonly,A
9,24kGoldn,C
10,310babii,C
11,347aidan,D
12,4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turnin,D
13,41,E
14,42 Dugg,E
15,5 Seconds of Summer,B
16,50 Cent,E
17,5ive,D
18,5ï¿½ï¿½ï¿,D
19,6YNTHMANE,D
20,6arelyhuman,D
21,A Boogie Wit da Hoodie,D
22,A Great Big World,D
23,A$AP Ferg,B
24,A.V.G,D
25,A1 x J1,D
26,ACRAZE,E
27,AJR,C
28,AKDO,E
29,AKMU,D
30,ALEX&RUS,E
31,ALPHA 9,E
32,ALTï¿½ï,D
33,ALYPH,D
34,ANGGA DERMAWAN,E
35,ANNA ASTI,D
36,ANOTR,E
37,AP Dhillon,E
38,ATB,B
39,ATEEZ,D
40,AUR,D
41,AURORA,C
42,AWOLNATION,C
43,AYLIVA,E
44,Aaron Smith,C
45,Aastha Gill,D
46,Abd El Fattah Grini,E
47,Adam Port,E
48,Aditya Gadhvi,E
49,Ado,C
50,Afsana Khan,E
51,AgroPlay,B
52,Agust D,C
53,Ahmed Saad,D
54,Aimer,E
55,Aitch,E
56,Akhil Sachdeva,E
57,Akon,S
58,Akris & Teddy,E
59,Alan Walker,D
60,Aldo Zee,D
61,Alec Benjamin,A
62,Alejo,D
63,Alessandra,D
64,Alesso,C
65,Alex & Sierra,C
66,Alex Favela,A
67,Alex Rose,E
68,Alex Sensation,C
69,Alex Temple,E
70,Alex Warren,E
71,Alfianie,C
72,Ali Gatie,A
73,Alok,D
74,Alvaro Diaz,C
75,Alvaro Soler,E
76,Alvee,D
77,Amaarae,E
78,Aman Jaji,E
79,Ambjaay,D
80,American Authors,E
81,Aminï¿,B
82,Amo988,D
83,Amrinder Gill,E
84,Ana Castela,E
85,Ander Huang,D
