Artist,Tier
The Weeknd,S
Michael Jackson,S
Rihanna,S
Bruno Mars,S
Eminem,S
Ariana Grande,S
Kendrick Lamar,S
Beyonce,A
Adele,A
Billie Eilish,A
Kanye West,A
Drake,A
Taylor Swift,A
Lady Gaga,A
Post Malone,A
Dua Lipa,A
2Pac,A
Travis Scott,A
Nicki Minaj,A
Doja Cat,A
"Tyler, The Creator",A
SZA,B
Justin Bieber,B
Ed Sheeran,B
Britney Spears,B
JAY-Z,B
Juice WRLD,B
Lil Nas X,B
XXXTentacion,B
Notorious B.I.G.,B
Snoop Dogg,B
Selena Gomez,B
Lil Wayne,B
J. Cole,B
Olivia Rodrigo,B
The Beatles,B
Frank Ocean,B
Justin Timberlake,B
Lana Del Rey,B
Miley Cyrus,B
A$AP Rocky,B
Lil Uzi Vert,B
Harry Styles,C
Madonna,C
Mariah Carey,C
ABBA,C
Prince,C
Camila Cabello,C
Playboi Carti,C
Elton John,C
Childish Gambino,C
Future,C
Megan Thee Stallion,C
Usher,C
Nas,C
Joji,C
Alicia Keys,C
21 Savage,C
DaBaby,C
Kid Cudi,C
Migos,C
Lizzo,C
Sam Smith,C
BTS,C
Lil Baby,D
Wiz Khalifa,D
Logic,D
Young Thug,D
Kesha,D
Lil Yachty,D
Chris Brown,D
Denzel Curry,D
Demi Lovato,D
Roddy Ricch,D
Jack Harlow,D
NBA Youngboy,D
Charli XCX,D
MF DOOM,D
Polo G,D
Fetty Wap,D
Mac Miller,D
N.W.A,D
Soulja Boy,D
Gunna,D
Bad Bunny,D
Chief Keef,D
Bebe Rexha,D
Halsey,D
Lauryn Hill,D
Kali Uchis,D
6ix9ine,D
Lil Durk,D
Baby Keem,D
Mary J. Blige,D
Alessia Cara,E
H.E.R.,E
Big Sean,E
Kid Laroi,E
Clairo,E
Madison Beer,E
Max,E
Nelly,E
Janet Jackson,E
Bella Poarch,E
Ty Dolla $ign,E
Schoolboy Q,E
Spice,E
Bhad Bhabie,E
Kehlani,E
Saweetie,E
Jhene Aiko,E
Rosalia,E
Summer Walker,E
Daddy Yankee,E
J Balvin,E
6lack,E
Aaliyah,E
100 Gecs,Oblivion
Mulatto,Oblivion
Sade,Oblivion
Phoebe Bridgers,Oblivion
Tate McRae,Oblivion
City Girls,Oblivion
King Von,Oblivion
YBN Nahmir,Oblivion
Rico Nasty,Oblivion
Chloe x Halle,Oblivion
Normani,Oblivion
Coi Leray,Oblivion
Nipsey Hussle,Oblivion
Wale,Oblivion
Sampa The Great,Oblivion
Blackbear,Oblivion
Tems,Oblivion
Queen Naija,Haven't Listened To
Doechii,Haven't Listened To
Don Toliver,Haven't Listened To
Saucy Santana,Haven't Listened To
Wet Leg,Haven't Listened To
Pia Mia,Haven't Listened To
Fletcher,Haven't Listened To
Dev Lemons,Haven't Listened To
Lissa,Haven't Listened To
Evan Giia,Haven't Listened To
Leah Kate,Haven't Listened To
Zeina,Haven't Listened To
Hiatus Kaiyote,Haven't Listened To
Kyan Palmer,Haven't Listened To
Wafia,Haven't Listened To
Emily Vaughn,Haven't Listened To
Radiohead,Haven't Listened To
Aja,Haven't Listened To
